ID,Code,Residential - Tariff allocation,Residential - stimulus allocation,SME allocation
1000,3,,,
1001,3,,,
1002,1,E,E,
1003,1,A,4,
1004,1,A,2,
1005,1,D,4,
1006,1,C,3,
1007,3,,,
1008,1,D,1,
1009,1,A,2,
1010,3,,,
1011,3,,,
1012,3,,,
1013,1,D,4,
1014,1,E,E,
1015,1,C,3,
1016,1,B,2,
1017,3,,,
1018,1,E,E,
1019,3,,,
1020,1,B,4,
1021,2,,,C
1022,1,E,E,
1023,2,,,2
1024,1,C,2,
1025,1,C,1,
1026,2,,,3
1027,1,E,E,
1028,2,,,C
1029,3,,,
1030,1,E,E,
1031,3,,,
1032,3,,,
1033,1,A,3,
1034,1,C,1,
1035,1,E,E,
1036,1,E,E,
1037,1,A,4,
1038,3,,,
1039,1,D,2,
1040,3,,,
1041,1,C,3,
1042,1,B,4,
1043,3,,,
1044,1,B,2,
1045,1,A,2,
1046,3,,,
1047,1,C,4,
1048,3,,,
1049,3,,,
1050,2,,,3
1051,3,,,
1052,1,D,3,
1053,1,A,1,
1054,1,C,4,
1055,1,C,3,
1056,2,,,C
1057,1,A,2,
1058,1,E,E,
1059,1,E,E,
1060,1,E,E,
1061,1,C,1,
1062,1,A,2,
1063,3,,,
1064,1,A,1,
1065,1,C,3,
1066,3,,,
1067,1,A,4,
1068,1,W,W,
1069,1,C,1,
1070,3,,,
1071,1,D,4,
1072,3,,,
1073,1,E,E,
1074,1,E,E,
1075,1,B,3,
1076,1,E,E,
1077,1,B,3,
1078,1,A,2,
1079,1,B,3,
1080,1,C,4,
1081,1,A,4,
1082,1,A,1,
1083,1,A,3,
1084,1,C,3,
1085,1,C,3,
1086,1,C,2,
1087,3,,,
1088,1,C,2,
1089,3,,,
1090,3,,,
1091,1,A,1,
1092,3,,,
1093,1,A,2,
1094,1,C,3,
1095,1,C,2,
1096,1,A,2,
1097,3,,,
1098,3,,,
1099,1,A,4,
1100,3,,,
1101,2,,,4
1102,1,A,1,
1103,3,,,
1104,3,,,
1105,1,D,3,
1106,3,,,
1107,1,E,E,
1108,1,D,4,
1109,1,D,4,
1110,1,C,1,
1111,3,,,
1112,1,b,3,
1113,3,,,
1114,3,,,
1115,1,A,3,
1116,3,,,
1117,3,,,
1118,3,,,
1119,1,E,E,
1120,1,E,E,
1121,1,C,3,
1122,1,D,3,
1123,1,D,4,
1124,1,C,1,
1125,3,,,
1126,1,C,2,
1127,3,,,
1128,3,,,
1129,3,,,
1130,1,E,E,
1131,3,,,
1132,1,A,3,
1133,1,A,1,
1134,1,A,2,
1135,3,,,
1136,1,B,3,
1137,2,,,4
1138,1,B,1,
1139,1,C,3,
1140,1,A,3,
1141,1,E,E,
1142,2,,,2
1143,1,C,2,
1144,1,E,E,
1145,2,,,1
1146,2,,,C
1147,1,D,2,
1148,1,B,1,
1149,3,,,
1150,3,,,
1151,3,,,
1152,1,C,4,
1153,1,B,4,
1154,3,,,
1155,1,B,4,
1156,1,D,2,
1157,1,E,E,
1158,3,,,
1159,1,C,2,
1160,1,A,3,
1161,1,A,2,
1162,3,,,
1163,3,,,
1164,1,E,E,
1165,1,C,3,
1166,1,C,2,
1167,3,,,
1168,1,D,1,
1169,1,A,1,
1170,1,D,1,
1171,1,E,E,
1172,2,,,C
1173,3,,,
1174,1,C,3,
1175,2,,,1
1176,1,E,E,
1177,2,,,4
1178,1,C,4,
1179,1,E,E,
1180,1,C,3,
1181,2,,,C
1182,1,C,3,
1183,1,A,3,
1184,1,A,4,
1185,1,C,1,
1186,3,,,
1187,3,,,
1188,3,,,
1189,3,,,
1190,3,,,
1191,1,C,4,
1192,3,,,
1193,3,,,
1194,3,,,
1195,3,,,
1196,1,B,2,
1197,1,C,2,
1198,1,A,2,
1199,1,B,2,
1200,1,B,3,
1201,1,C,1,
1202,1,C,2,
1203,1,C,3,
1204,3,,,
1205,3,,,
1206,3,,,
1207,1,E,E,
